Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Lu et al. 2016,ZK001_19,1993,0.0024,56.4,0.207,3.06,8.5,2.91,44.4,13.48,162.8,61,304.4,63.6,622,133.2
Lu et al. 2016,ZK001_24,1741,0.0023,47.6,0.073,1.73,4.45,1.57,26.6,9.32,121.9,49.6,260.7,57.1,551,123.4
Lu et al. 2016,ZK001_29,1310,0.0022,29.4,0.045,0.97,3.35,1.35,22.4,7.7,98.9,39.97,208.1,44.8,448,101.6
Lu et al. 2016,ZK001_43,1204,0.0017,38.6,0.098,1.13,3.58,1.59,24.3,8.28,98.4,38.6,191.2,41.2,387.7,84.3
Lu et al. 2016,JM5_50,1422,0.65,98.3,0.38,4.41,6.4,2.14,34.8,9.84,116.9,42.15,196.4,40.1,378.7,80.6
Lu et al. 2016,JM5_2,475,0.63,36,0.147,1.86,1.59,0.75,9.43,2.8,33.8,13.71,72.8,16.85,176.4,43.7
Lu et al. 2016,JM5_8,557,0.51,45.1,0.25,2.38,3.54,1.27,16.91,4.51,49.6,18.2,82.6,16.1,161,34.3
Lu et al. 2016,JM5_11,577,0.253,18.9,0.082,0.91,1.19,0.61,8,2.76,33.1,15.4,87.3,22.3,240,64.3
Lu et al. 2016,JM5_40,669,0.187,35.8,0.151,2.11,3.78,1.26,16.9,4.65,54.3,20.33,102,23.1,212,49.6
Lu et al. 2016,JM5_18,2250,0.136,143,1.53,23.3,34.9,10.1,104,24.6,242,71,290,52,435,84
Lu et al. 2016,JM5_35,516,0.13,28.23,0.074,1.22,2.24,0.96,13,3.46,43.2,15.59,81.5,17.56,173.4,40.71
Lu et al. 2016,JM5_1,1150,0.129,35,0.126,2.21,4.68,1.61,23.8,7,82,34.3,172,37.9,381,87.5
Lu et al. 2016,JM5_46,865,0.114,89.9,0.217,3.29,6.14,1.93,25.8,7.05,73.3,25.83,124.6,28.03,295.4,71.9
Lu et al. 2016,JM5_25,446,0.103,31.6,0.081,1.09,2.13,0.71,9.94,2.82,35.3,13.17,70.2,16.27,160,39.2
Lu et al. 2016,JM5_43,1148,0.081,71.5,0.085,1.51,2.92,1.13,16.91,5.68,72.4,29.9,164.6,38.6,423,107.3
Lu et al. 2016,JM5_49,407,0.077,21.8,0.064,0.79,1.4,0.48,9.4,2.58,29.9,11.6,60.4,14.2,146.3,35.7
Lu et al. 2016,JM5_23,1704,0.048,78.1,0.23,4,8.41,3.32,42.9,12.46,137.1,49,235,48.8,456,101.1
Lu et al. 2016,JM5_14,673,0.0437,14.3,0.44,5.81,6.69,3.62,28.6,6.75,64.8,21.9,96.1,19.03,173.3,37.7
Lu et al. 2016,JM5_32,628,0.038,30.4,0.172,2.22,4.88,1.45,19.2,5.24,56.7,20,93,19,175,38.9
Lu et al. 2016,JM5_5,557,0.0351,27.7,0.074,1.16,2.76,1,12.3,3.9,44.9,17.4,85.5,18.6,184,42.8
Lu et al. 2016,JM5_37,801,0.027,22.2,0.094,1.65,3.9,1.5,17.6,5.34,63.4,24,122,26.3,255,58.1
Lu et al. 2016,JM5_38,977,0.0237,49,0.111,1.65,2.94,0.84,14.1,4.35,59.4,25.1,143.3,35.3,386,100.8
Lu et al. 2016,JM5_27,1107,0.023,55.9,0.165,2.92,4.81,1.92,23.8,7,80.8,30.9,158,35.2,369,91.9
Lu et al. 2016,JM5_34,904,0.0214,53.9,0.096,1.81,3.42,1.55,18.1,5.32,68.1,27.3,135,29.6,301,69.2
Lu et al. 2016,JM5_17,651,0.0154,45.3,0.071,1.23,2.35,0.98,12.7,3.99,45.7,18.3,94,21.6,227,56
Lu et al. 2016,JM5_48,1266,0.0151,51.8,0.272,3.92,7.2,2.49,29,9.04,105.4,37.5,177,35.8,347,76
Lu et al. 2016,JM5_30,782,0.0136,54.7,0.087,1.51,3.17,1.43,18.53,5.47,64,23.7,118.3,26,250,58.3
Lu et al. 2016,JM5_15,713,0.0132,32.33,0.174,2.94,4.76,1.56,18.6,5.55,61.5,22.04,107,22.31,212.2,48.3
Lu et al. 2016,JM5_3,680,0.0103,46.4,0.137,2.26,3.99,1.58,18.9,5.21,62.6,20.9,102.3,20.8,197,43.1
Lu et al. 2016,JM5_12,461,0.0099,26.1,0.033,0.6,0.87,0.66,7.73,2.22,27.1,11.57,69.2,17.3,200,55.1
Lu et al. 2016,JM5_26,405.7,0.0078,30.67,0.0358,0.78,1.47,0.57,7.77,2.2,28.5,11.06,61.2,14.95,158.4,39.7
Lu et al. 2016,JM5_21,810,0.0077,43.6,0.114,1.78,3.59,1.41,17.3,5.48,66,24.4,123.3,25.9,254,57.8
Lu et al. 2016,JM5_41,322,0.0074,22.6,0.069,0.69,1.58,0.76,7.9,2.61,26.7,10.2,50.5,11.2,119,30.2
Lu et al. 2016,JM5_24,468,0.0073,37.1,0.061,0.37,1.37,0.43,6.9,2.54,33.2,12.59,69.7,17.73,190,47.5
Lu et al. 2016,JM5_36,397.4,0.0069,17.19,0.0187,0.5,1.06,0.51,6.63,2.3,26.8,11,61.3,14.85,162.5,43.79
Lu et al. 2016,JM5_47,492,0.0061,17.63,0.042,0.68,1.48,0.55,6.69,2.26,28.9,12.51,76.4,19.45,229,63.2
Lu et al. 2016,JM5_44,651,0.0059,56.47,0.142,2.25,4.86,1.74,19.4,5.41,59.9,20.46,95.2,19.42,192.8,41.8
Lu et al. 2016,JM5_20,872,0.0049,52.5,0.104,1.33,3.98,1.33,18.4,5.75,70.3,26.33,133.4,29.34,288.7,67.4
Lu et al. 2016,JM5_45,588,0.0042,18.99,0.0653,1,1.8,0.9,10.2,3.09,37.7,16.33,90.7,21.92,252.3,68.2
Lu et al. 2016,JM5_42,766.1,0.0039,48.8,0.1,1.46,3.69,1.35,18.5,5.29,67,25.14,119.9,25.79,244.9,54.6
Lu et al. 2016,JM5_16,925,0.003,66.4,0.109,2.2,5.66,1.6,24.1,6.95,79.4,29.42,134.3,28.27,260.8,56.8
Lu et al. 2016,JM5_28,404.5,0.0023,29.51,0.0333,0.57,0.86,0.39,5.76,1.74,23.4,9.98,63.5,16.85,196.7,53.3
Lu et al. 2016,JM5_10,622,0.0014,50.5,0.112,1.96,3.82,1.45,17.2,4.78,54.4,19.21,91.3,19.34,186.3,41
Lu et al. 2016,JM5_9,1032,8.00E-04,63.7,0.079,1.65,4.17,1.3,20.3,6.48,79.6,31.6,158.8,33.97,335,73.7
Lu et al. 2016,JM5_39,409,7.00E-04,20.1,0.036,0.47,1.57,0.69,8.7,2.59,31.3,12.09,60.7,14.7,142.4,34.3
