Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Large et al. 2020,BHX_4s_31 - 1,625,0.0111,5.44,0.073,1.37,2.82,1.115,13.25,4.11,48.9,20.1,97.1,23.72,252.5,57.7
Large et al. 2020,BHX_4s_32 - 1,568,0.0053,5.54,0.0198,0.48,1.21,0.472,7.1,2.75,37.3,17.4,95.2,24.64,280,67.1
Large et al. 2020,BHX_4s_39 - 1,612,0.0137,4.83,0.083,1.52,2.96,1.122,12.76,4.13,49.5,20.05,95.8,22.72,237.4,53.6
Large et al. 2020,BHX_4s_47 - 1,501,0.006,3.07,0.014,0.327,0.97,0.512,6.57,2.65,35.5,15.39,81.3,20.98,236.1,56.9
Large et al. 2020,BHX_4s_49 - 1,688,0.0073,5.11,0.0125,0.416,1.12,0.623,8.97,3.69,50.3,21.8,108.9,27.3,293,68.8
Large et al. 2020,BHX_4s_52 - 1,724,0.0082,5.35,0.031,0.68,1.36,0.689,10.06,3.88,51.3,22.5,116.2,29.1,312,75.6
Large et al. 2020,BHX_4s_53 - 1,532,0.0093,4.59,0.0167,0.443,1.28,0.486,7.99,2.8,37.2,16.67,88.4,22.39,240.2,56.1
Large et al. 2020,BHX_4s_56 - 1,489,0.0099,3.17,0.0411,0.78,1.51,0.66,8.51,3.04,37.3,15.74,78.5,19.76,214.8,51.7
Large et al. 2020,BHX_4s_62 - 1,747,0.0073,5.63,0.0207,0.44,1.08,0.534,8.27,3.46,50.1,23.09,121.8,30.89,340.4,82
Large et al. 2020,BHX_4s_67 - 1,1032,0.026,8.62,0.028,0.55,1.74,0.73,13,5.41,73.7,32.63,167.6,41.27,443.4,102.3
Large et al. 2020,BHX_4s_72 - 1,559,0.0092,3.36,0.04,0.71,1.75,0.828,9.5,3.39,42.8,18.2,87.9,22,237,54.7
Large et al. 2020,BHX_1b_05 - 3,580,0.0064,4.11,0.02,0.279,0.9,0.451,7.18,2.94,40.4,18.1,94.5,24.2,270,65.6
Large et al. 2020,BHX_4s_12 - 2,1801,0.0077,21.61,0.0198,0.77,2.77,1.112,23.47,9.15,126.5,55.14,274.9,65.7,691,158.2
Large et al. 2020,BHX_4s_18 - 2,868,0.0146,7.08,0.023,0.565,1.58,0.682,10.82,4.13,58.6,26.76,142,36.1,404,98.7
Large et al. 2020,BHX_4s_25 - 2,1574,0.066,13.34,0.048,0.83,2.16,0.9,17.04,7.45,108.7,49.6,256.3,63.5,685,158.3
Large et al. 2020,BHX_4s_32 - 2,1775,0.0097,15.32,0.061,0.93,2.43,0.988,17.2,6.99,105.2,51.68,280.5,68.1,710,161.8
Large et al. 2020,BHX_4s_35 - 2,2410,0.012,17.77,0.039,1.2,3.09,1.82,29.4,11.51,154.7,66.3,323,74.6,781,179.6
Large et al. 2020,BHX_4s_49 - 2,764,0.0132,6.26,0.04,0.87,2.17,0.863,13.73,4.84,60.6,25.17,122.1,29.14,303.7,69.5
Large et al. 2020,BHX_4s_52 - 2,786,0.0091,9.76,0.0202,0.47,1.6,0.621,12.64,4.45,61.5,25.79,129.2,30.79,326.7,73.7
Large et al. 2020,BHX_4s_54 - 2,829,0.027,6.57,0.027,0.77,1.95,0.824,12.43,4.64,61.4,26.66,135.8,33.5,370.1,85.2
Large et al. 2020,BHX_4s_61 - 2,863,0.0187,14.51,0.0285,0.492,1.75,0.675,12.8,4.72,64.8,28.14,142.6,35.63,386.4,90.8
Large et al. 2020,BHX_4s_64 - 2,2070,0.0183,15.69,0.051,0.88,2.78,1.3,23.2,9.62,131.3,57.7,291,69.3,729,164.7
Large et al. 2020,BHX_4s_11 - 2,1096,0.0134,8.26,0.102,1.65,3.27,1.19,20.1,6.97,86.8,36,167.4,39.4,408,90.6
Large et al. 2020,BHX_1b_05 - 4,373,0.0078,2.71,0.0159,0.249,0.73,0.312,4.85,1.79,26.57,11.51,61.3,15.88,185.1,45.7
Pizarro et al. 2020,Ch04-2_1-2,742,0.022,28,0.117,2.12,2.84,1.16,14.4,4.19,52.5,21.11,112.5,28.21,306.7,72.7
Pizarro et al. 2020,Ch04-3_1-2,1113,0.097,41,0.262,3.78,5.63,2.04,26.4,7.67,83.7,34.17,175,42.6,447,99.2
Pizarro et al. 2020,Ch04-3_1-5,733,0.042,32.1,0.057,0.73,1.24,0.84,10.4,3.41,46.3,20.84,114.6,30.2,337.7,80.3
Pizarro et al. 2020,Ch04-3_2-1,1204,0.077,44.1,0.139,3.13,6.93,2.56,31.7,9.49,101,38.2,179.9,39.9,389,85.9
Pizarro et al. 2020,Ch04-3_2-2,840,0.008,34.4,0.035,1.01,2.5,1,14.8,4.44,57.6,24.4,132.6,32.4,344,83.7
Pizarro et al. 2020,Ch04-3_3-1,1140,0.085,43,0.119,2.2,3.45,1.24,19.5,5.88,75,31.8,169,42,455,112
Pizarro et al. 2020,Ch04-3_4-1,685,0.01,16.71,0.035,0.69,1.96,1.03,12.8,4.22,54.1,21.2,108.4,25.1,254,58
Pizarro et al. 2020,Ch04-3_4-2,880,0.02,20.5,0.037,1.23,3.12,1.51,16.9,5.94,73.9,27.2,137.1,31,308,66.7
Pizarro et al. 2020,Ch07-2_1-1,774,0.07,9.91,0.103,1.44,3.03,1.76,19.5,5.83,71.2,24.1,115.9,27,272,60.3
Pizarro et al. 2020,Ch07B-2_2-2,654,0.047,27.5,0.04,0.64,2.4,0.77,11.4,3.89,49.4,18.69,99.9,23.4,244.9,58.8
Pizarro et al. 2020,Ch07B-3_2-1,1172,0.009,38.6,0.101,3.2,6.1,2.07,25.5,7.66,95.3,36.6,178,41.1,400,91.8
Pizarro et al. 2020,Ch07B-4_2-4,775,0.004,40.3,0.003,0.5,1.29,0.67,10,3.78,48.3,20.57,123.5,30.24,331.6,86.4
Pizarro et al. 2020,Ch07B-2_3-1,969,0.006,26.39,0.085,2.01,3.49,1.81,20.9,6.33,86.3,30.9,147.6,32.7,320.7,68.4
Pizarro et al. 2020,Ch07B-4_3-2,959,0.042,35.1,0.12,2.51,3.89,1.4,19.2,6.17,76.4,28.9,141.3,34.2,342,79.3
Pizarro et al. 2020,Ch07B-3_4-1,958,0.008,34.1,0.092,2.23,4.61,1.69,18.5,5.99,75,29.7,141.5,34.8,361,84.4
Pizarro et al. 2020,Ch18-3_2-2,1034,0.021,18.6,0.165,1.36,2.27,0.98,14.2,5.19,70.5,31.5,170.6,40.5,418,101.5
Pizarro et al. 2020,Ch18-2_3-1,1207,0.043,17.7,0.164,2.63,4.94,2.06,22.5,8.45,98.7,38.9,192.6,42.4,412,92.2
Pizarro et al. 2020,Ch18-4_3-3,1668,0.027,24.8,0.127,2.52,6.6,1.57,33.4,10.89,143.5,55.3,256.6,58.1,552,120
Pizarro et al. 2020,M01-3_1-1,596,0.064,18.41,0.039,1,1.76,0.78,10.9,3.56,47.9,18.07,95.3,22.25,224.3,51.3
Pizarro et al. 2020,M01-1_2-1,912,0.053,25.41,0.067,1.53,2.67,1.29,15.7,5.43,70.9,28.8,146,33.1,342,76.4
Pizarro et al. 2020,M01-4_3-1,975,0.01,23.7,0.021,0.85,1.81,0.97,14.3,5.04,74.2,29.8,156.7,36.2,372,84.1
Pizarro et al. 2020,M01-3_4-1,387,0.01,6.43,0.047,1.05,1.51,0.66,8.4,2.21,29.3,11.45,61.9,14.85,151.1,36.6
Pizarro et al. 2020,M01-3_4-2,439,0.004,6.62,0.077,1.23,2.09,1,9.7,3.3,38.1,14.6,69.9,16.4,162,36.6
Pizarro et al. 2020,M01-3_4-3,419,0.042,6.33,0.084,1.32,1.49,0.87,9.4,2.87,32.9,13.4,67.6,15.7,159,36.9
Pizarro et al. 2020,M03-3_2-3,522,0.024,10.91,0.05,1.73,2.42,1.07,12.9,3.76,46.2,15.89,76.8,17.04,170.6,38.8
Pizarro et al. 2020,Esp03-4_1-1,930,0.042,28.4,0.022,0.59,1.86,0.88,13.9,4.61,68.9,28.7,155,38.1,403,94
Pizarro et al. 2020,Esp03-1_2-1,949,0.002,20.5,0.086,1.99,3.62,1.68,19.7,6.29,77.9,29.9,149.6,35.3,350,79.4
Pizarro et al. 2020,Esp03-1_2-6,787,0.036,29.7,0.022,0.87,2.3,1.02,15.1,4.62,63.7,24.48,122.2,28.91,294.5,67.7
Pizarro et al. 2020,Esp03-2_3-3,1117,0.017,27.9,0.07,1.01,2.28,1.11,16.8,6.76,84.2,34.9,184.1,41.9,429,98
Pizarro et al. 2020,Esp03-4_3-1,591,0.032,12.9,0.062,0.86,1.84,0.75,10.2,3.39,45.5,17.9,94.7,22.5,243,57.7
Pizarro et al. 2020,Esp01-3_1-2,637,0.052,21.66,0.037,0.33,0.9,0.53,8.1,3.01,45,18.76,106.3,26.09,272,66.1
Pizarro et al. 2020,Esp01-4_3-1,1258,0.052,34.3,0.06,1.92,4.2,1.27,22.3,7.02,94.7,37.9,194,44.6,448,103.1
Pizarro et al. 2020,Esp01-4_3-3,1160,0.001,27.5,0.084,1.78,3.2,1.16,20.4,6.3,84.2,33.9,179,43.7,436,102.3
Pizarro et al. 2020,Esc06-1_2-1,872,0.002,14.3,0.11,2.13,4.3,1.45,18.5,6.17,76.4,27.2,133.2,29.2,277.1,59.4
Pizarro et al. 2020,Esc06-3_2-1,813,0.001,21.1,0.095,2.26,4.39,1.61,19.6,5.92,70.3,23.5,122,28,275,61.9
Pizarro et al. 2020,Esc06-3_2-2,592,0.0021,18,0.042,0.76,2.27,0.78,11.5,3.17,45,16.8,83,20.4,216,50.4
Pizarro et al. 2020,Esc06-3_3-1,257,0.072,11.26,0.09,0.59,0.86,0.27,3.53,1.3,16.6,6.74,38.8,9.84,109.2,28
Pizarro et al. 2020,Esc09-1_2-1,1380,0.008,25.9,0.043,1.01,3.1,2.04,22.8,9.7,122,39.7,188,43.8,410,81
Pizarro et al. 2020,Esc09-4_2-1,2148,0.078,40,0.132,2.96,6.74,3.15,37.7,13.65,188,69.9,349,77.3,707,144
Pizarro et al. 2020,Esc09-4_2-3,1880,0.017,42.8,0.097,1.53,5.1,1.73,29.4,11.22,158.6,60.9,314.5,70.1,651,138
Pizarro et al. 2020,Esc09-3_3-2,1015,0.008,37.1,0.061,1.53,3.24,1.34,15.7,5.79,82.2,29.92,154.5,37.3,376.5,83.6
Pizarro et al. 2020,Esc03-2_3-1,667,0.029,16.52,0.091,0.96,2.18,0.57,13.3,4.24,53.5,20.4,102.8,23.3,223.4,49.6
Zhu et al. 2020,181203\LA3-01,1020,0.029,8.3,0.058,0.52,1.55,0.121,12.9,5.1,74,32.5,177,41.5,418,94.5
Zhu et al. 2020,181203\LA3-03,1795,0.0021,1.42,0.131,2.41,6.14,0.187,40.3,13.11,164.1,59.5,278,53.9,478,91.3
Zhu et al. 2020,181203\LA3-05,3650,0.084,1.62,0.106,1.88,5.44,0.093,47.9,21.26,302,121,601,123.1,1096,211
Zhu et al. 2020,181203\LA3-06,1207,0.05,3.64,0.107,1.05,2.3,0.103,16.4,7.04,98,38.8,197,40.9,363,72.5
Zhu et al. 2020,181203\LA3-07,2330,0.022,1.96,0.142,3.16,8.2,0.21,48.7,17.26,216.2,78.5,365,71.9,619,121.6
Zhu et al. 2020,181203\LA3-08,990,0.0011,1.06,0.05,1.28,3.06,0.068,20.3,6.93,89.3,32.7,155,30.9,278.6,54.2
Zhu et al. 2020,181203\LA3-09,3463,0.04,2.13,0.075,0.93,3.66,0.087,35.2,17.2,265.8,112.2,590,126.7,1165,228.5
Zhu et al. 2020,181203\LA3-11,3060,0.038,6.56,0.412,8.08,16.9,0.87,83.6,26.2,308,103.8,459,84,693,130.6
Zhu et al. 2020,181203\LA3-12,1780,0.01,0.79,0.042,0.84,3.5,0.09,26.6,10.59,150.1,57.9,290,60.4,533,109.4
Zhu et al. 2020,181203\LA3-13,2242,0.0047,2.06,0.216,3.62,8.16,0.177,53.2,16.9,209.7,75.6,350,66.1,565,108
Zhu et al. 2020,181203\LA3-14,2460,0.007,1.6,0.15,2.74,7.8,0.151,48.1,17.4,223,82.4,394,78,676,131.3
Zhu et al. 2020,181203\LA3-15,1913,4.00E-04,0.96,0.072,1.1,3.38,0.119,25.9,11.19,152.8,62.8,315,65.9,596,118.2
Zhu et al. 2020,181203\LA3-16,3266,0.0028,1.26,0.058,0.58,3.49,0.058,34.5,16.79,253.4,107.9,560.8,119.5,1092,217
Zhu et al. 2020,181203\LA3-19,2659,0.174,2.84,0.363,5.93,12,0.41,64.3,21.2,255.3,91.7,414,80.5,679,130.7
Zhu et al. 2020,181203\LA3-20,1888,0.023,2.71,0.272,4.95,9.3,0.218,51.5,15.74,184.2,64.1,284.6,53.6,445,85.6
Zhu et al. 2020,181203\LA3-21,1410,0.056,3.07,0.083,1.27,3.86,0.356,27.3,9.55,124.6,48,229.7,47.2,420,86
Zhu et al. 2020,181203\LA3-22,2038,0.008,2.25,0.064,1.21,3.28,0.113,28.3,11.61,164.1,66.6,333,69.9,615,120.5
Zhu et al. 2020,181203\LA3-23,3019,0.18,1.75,0.125,0.98,2.69,0.06,30.3,14.5,225.7,97.2,526,117.3,1093,216.5
Zhu et al. 2020,181203\LA3-25,2661,0.041,2.89,0.207,2.71,7.44,0.165,50.7,17.98,232.9,89.9,424,83.9,734,144.2
Zhu et al. 2020,181203\LA3-26,2313,0.019,1.68,0.121,1.33,4.59,0.108,36.4,14.54,194.4,76.1,374,76.2,661,131.2
Zhu et al. 2020,181203\LA3-28,1671,0.0042,2.31,0.211,4.23,8.33,0.3,45.3,14.26,163.8,57,254.5,47.9,401,76.9
Zhu et al. 2020,181203\LA3-29,2119,0.011,2.26,0.22,4.04,8.89,0.241,51.6,17.12,202.7,72.2,326.8,61.6,520,100.9
Zhu et al. 2020,181203\LA3-30,974,0.006,2.27,0.076,1.47,3.57,0.17,19.9,7.14,86.9,32.1,155.8,30.1,271,55.1
Zhu et al. 2020,181203\LA3-32,3729,0.019,0.83,0.06,0.96,4.76,0.093,40.3,19.63,288.9,122.2,638,136.4,1224,245.2
Zhu et al. 2020,181203\LA3-33,2330,0.066,1.85,0.261,3.66,8.3,0.197,53.7,17.2,207,76.5,352,69.2,600,116.8
Zhu et al. 2020,181203\LA3-35,3050,0.014,2.96,0.225,3.62,9.33,0.223,54.9,20,258,102.7,495,100.7,900,178
Zhu et al. 2020,181203\LA3-36,3310,0.056,1.05,0.075,0.87,4.06,0.049,34.9,17.19,260,109.2,582,130,1231,250
Zhu et al. 2020,181203\LA3-37,2256,0.058,1.44,0.113,1.91,4.7,0.24,31,12.64,178.2,73.6,377,80.4,736,145
Zhu et al. 2020,181203\LA3-38,2010,0.0064,1.51,0.063,1.25,4.2,0.084,30.2,12.17,166.3,66.1,334,68.5,619,124
Zhu et al. 2020,181203\LA3-39,1329,0.017,1.18,0.138,2.06,6,0.217,33,10.77,125.2,45.8,209,41.2,340,67.3
Zhu et al. 2020,181203\LA3-40,1950,0.011,1.49,0.097,2.16,5.58,0.099,37.2,12.86,166,64.7,310,60.1,534,104.6
Zhu et al. 2020,181203\LA3-41,4410,0.73,3.6,0.46,4.2,7.9,0.13,56,25.8,365,146.6,738,160,1480,292
Zhu et al. 2020,181203\LA3-44,1800,0.21,1.32,0.138,1.26,2.97,0.066,22.4,10.31,143,59.4,298,63,564,114.8
Zhu et al. 2020,181203\LA3-45,1640,0.024,1.67,0.208,3.22,7.1,0.228,38.1,12.67,148.5,54.8,259.5,51.2,449,88.1
Zhu et al. 2020,181203\LA3-46,1838,0.017,2.1,0.153,3.22,8.4,0.203,44.2,14.39,169.7,62,284,53.6,465,93.6
Zhu et al. 2020,181203\LA3-49,2020,0.0022,1.15,0.073,1.43,3.69,0.094,25.1,10.9,158,64.9,337,72.9,669,136
Zhu et al. 2020,181203\LA3-50,1513,0.014,4,0.133,2.75,5.6,0.261,31.6,10.96,136.9,50.2,241,47.1,418,83.7
Zhu et al. 2020,181203\LA3-51,1674,0.008,1.4,0.088,1.64,5.28,0.109,33.6,12.06,149.5,55.9,265,52.1,459,90.7
Zhu et al. 2020,181203\LA3-52,3450,0.029,2,0.099,2.07,6.54,0.19,47.6,20.5,289,114.3,562,115.5,998,193.6
Zhu et al. 2020,181203\LA3-53,1200,0.013,1.55,0.105,1.7,4.89,0.15,28.7,9.3,112,41,183,35,301,58.3
Zhu et al. 2020,181203\LA3-54,3390,0.014,3.07,0.201,4.91,12.1,0.242,74,25.3,312,111.7,507,97.1,799,152
Zhu et al. 2020,181203\LA3-58,3577,0.003,1.89,0.073,1.68,4.83,0.167,44.6,19.44,278.9,114.4,584,122.1,1070,212.5
Zhu et al. 2020,181203\LA4-03,2570,0.039,1.82,0.156,2.49,6.2,0.152,47,18.3,233,86.8,411,81.5,705,135
Zhu et al. 2020,181203\LA4-05,2590,0.013,2.27,0.134,2.31,5.71,0.251,46.9,16.8,222,83.4,412,82.3,735,144
Zhu et al. 2020,181203\LA4-06,1880,0.004,1.44,0.16,2.14,5.8,0.291,39,13.3,166,61.9,293,58.9,532,105
Zhu et al. 2020,181203\LA4-07,1780,0.019,4.13,0.149,3.13,7.47,0.64,43.9,14.9,169,58.6,258,49.1,423,82.7
Zhu et al. 2020,181203\LA4-09,2310,0.032,2.57,0.181,3.12,10,0.37,55,18.5,219,77.6,350,68.4,576,112
Zhu et al. 2020,181203\LA4-12,1538,0.026,2.07,0.099,2,4.61,0.232,30.2,10.6,132.4,50.6,245,48.6,429,85.4
Zhu et al. 2020,181203\LA4-13,2270,0.019,2.15,0.166,3.69,8.21,0.408,48.5,16.9,208,76,356,68.4,582,112.6
Zhu et al. 2020,181203\LA4-14,880,0.005,9.4,0.027,0.71,2.94,0.313,18.5,6.15,73.5,26.5,131.1,30.5,309,66.1
Zhu et al. 2020,181203\LA4-16,1594,0.096,4.34,0.286,4.47,8.06,0.93,44,13.67,153.9,55,248,47.6,403,80.9
Zhu et al. 2020,181203\LA4-19,1840,0.042,2.6,0.081,1.89,4.7,0.224,34.7,12.6,158,59.5,285,58.1,506,101
Zhu et al. 2020,181203\LA4-21,1060,0.052,10.9,0.058,0.61,1.9,0.35,12.3,5.12,79.4,34.2,193,46.4,472,100.2
Zhu et al. 2020,181203\LA4-25,2199,0.01,2.26,0.165,2.59,7.7,0.4,52.3,18.28,214.2,72.4,316,60.8,512,95.6
Zhu et al. 2020,181203\LA4-27,997,0.011,1.72,0.128,2,4.55,0.476,21.3,7.12,90,32.9,156.3,32.2,288,59.2
Zhu et al. 2020,181203\LA4-29,2457,0.02,1.69,0.14,2.3,5.83,0.271,44.5,16.71,215.2,80.5,385,77.4,672,132.4
Zhu et al. 2020,181203\LA4-30,2800,0.151,1.99,0.254,3.68,11.6,0.5,73.2,24.4,286,92,387,71.6,574,107.4
Zhu et al. 2020,181203\KB12-03,3840,0.0036,1.88,0.052,1.24,4.9,0.31,43.2,20,303,125,622,128,1120,217
Zhu et al. 2020,181203\KB12-07,1936,0.033,4.62,0.115,1.79,4.01,0.69,31.8,11.98,161.1,62.5,311,63.3,566,113.6
Zhu et al. 2020,181203\KB12-12,1750,0.053,2.68,0.047,0.8,2.7,0.232,22.4,9.13,137,58,299,64,590,120
Zhu et al. 2020,181203\KB12-14,1900,0.066,9.9,0.065,1.32,3.88,0.55,31.6,12.23,159,61.3,300,59.7,519,101
Zhu et al. 2020,181203\KB12-15,3220,0.159,13.3,0.236,3.82,9.4,1.68,59.3,20.72,269.9,112.7,571,115.8,1053,216
Zhu et al. 2020,181203\KB12-16,950,0.033,9.7,0.089,1.44,2.68,0.74,15,5.61,74,29.9,152,33.9,328,71
Zhu et al. 2020,181203\KB12-17,3880,8.00E-04,2.41,0.087,0.85,5.52,0.49,47.6,21.5,310,123.1,614,125.6,1097,210.5
Zhu et al. 2020,181203\KB12-18,1777,0.039,10.8,0.402,6.5,12.5,1.97,54.4,16.15,177.2,59.3,266.2,51.4,458,90.2
Zhu et al. 2020,181203\KB12-19,4510,0.038,2.31,0.166,2.36,7.05,0.65,56.9,24.4,362,144,715,145,1240,236
Zhu et al. 2020,181203\KB12-21,1259,0.027,7.33,0.043,0.82,2.77,0.258,19.3,7.66,105.3,41.2,208,43.1,403,82.2
Zhu et al. 2020,181203\KB12-22,2050,0.118,2.6,0.21,1.12,2.59,0.4,21,10.28,151.5,65,351,80.2,753,157.5
Zhu et al. 2020,181203\KB12-23,2530,0.104,3.36,0.076,1.55,4.43,0.5,33.5,14.34,198.5,79.8,407,84.9,767,154
Zhu et al. 2020,181203\KB12-24,1465,0.007,2.77,0.063,1.01,3.58,0.33,24.2,9.02,122.8,48.1,240,49.4,451,90.8
Zhu et al. 2020,181203\KB12-25,2060,0.008,5.56,0.14,2.94,8,1.09,47.5,16.9,197,67.3,298,56,484,91.9
Zhu et al. 2020,181203\KB12-28,2010,0.01,1.81,0.037,0.69,2.3,0.239,23.6,10.4,155,64,332,70.9,658,133
Zhu et al. 2020,181203\KB12-29,265,0.006,6.17,0.095,1.02,3.22,0.339,16.9,3.56,29.9,8.8,36.3,7.1,63,13.3
Zhu et al. 2020,181203\KB12-30,2872,0.009,11.54,0.184,3.58,8.57,1.37,59.8,19.46,245.1,99.9,501,102.5,893,183.4
Zhu et al. 2020,181203\KB12-35,1731,0.01,6.29,0.106,2.02,6,0.91,39.1,13.95,162.7,57.1,262,50,424,84.5
Zhu et al. 2020,181203\KB12-36,1910,0.005,5.41,0.104,1.59,3.98,0.76,32.1,11.62,158.4,63.8,310,62,556,108
Zhu et al. 2020,181203\KB12-39,1998,0.019,3.74,0.042,1.13,3.36,0.394,26.2,11.09,154.8,64.3,322.4,65.6,584,114.7
Zhu et al. 2020,181203\KB12-40,568,9.00E-04,14.96,0.052,0.66,1.43,0.5,8.64,2.96,38.5,16.98,94.5,21.9,234.5,55.9
Zhu et al. 2020,181203\KB12-42,2350,0.036,3.48,0.138,1.28,4.08,0.38,28.6,12.12,181.4,75.6,387,81.9,733,148.2
Zhu et al. 2020,181203\KB12-44,986,0.021,21.8,0.153,2.18,3.18,0.64,17.8,6.3,84.4,32.9,162,33.3,303,61.4
Zhu et al. 2020,181203\KB12-45,1151,0.023,6.53,0.048,1.26,2.96,0.117,21.4,7.91,101.6,38.9,184.6,36,320,62.8
Zhu et al. 2020,181203\KB12-46,4070,0.012,5.3,0.084,1.74,6.16,0.84,48.9,21.4,317,130,661,137.4,1239,248
Zhu et al. 2020,181203\KB12-47,1271,0.089,5.15,0.065,0.72,2.08,0.155,16.8,7.16,100.9,41,209,43.3,399,81.5
Zhu et al. 2020,181203\KB12-48,2090,0.008,1.69,0.033,0.72,2.07,0.287,21.4,10.35,156,65.5,348,75.4,703,143.6
Zhu et al. 2020,181203\Mul2-03,1740,0.027,1.47,0.114,1.82,4.19,0.116,29.6,11.3,153,57.5,273,52.7,447,82.8
Zhu et al. 2020,181203\Mul2-04,2580,0.019,6.08,0.206,3.2,7.37,0.99,49.1,17.58,223,87.1,409,79.9,694,137.9
Zhu et al. 2020,181203\Mul2-05,2190,0.037,6.11,0.087,1.14,4.44,0.36,34.4,12.91,180,72.7,362,75.1,668,135.3
Zhu et al. 2020,181203\Mul2-07,3240,0.12,12.04,0.284,4.9,9.7,1.48,66.1,23,294,110.9,526,102.9,881,170.6
Zhu et al. 2020,181203\Mul2-09,2205,0.037,3.57,0.079,1,3.75,0.422,30,12.72,176.7,73.2,371.6,77.1,694,141.3
Zhu et al. 2020,181203\Mul2-10,2330,0.069,5.37,0.093,2.25,5.85,0.66,42,15.51,204,78.1,385,76.7,677,136
Zhu et al. 2020,181203\Mul2-12,1701,0.206,2.59,0.163,1.28,3.21,0.123,24.8,9.86,140.1,56,278.3,58.7,539,105.9
Zhu et al. 2020,181203\Mul2-17,2096,0.27,11.49,0.145,2,4.92,0.8,36.4,14.12,182.1,71.4,342,67.7,579,116.4
Zhu et al. 2020,181203\Ros2-01,2427,0.009,1.6,0.027,0.72,2.49,0.108,24.6,11.91,181.1,76.3,392,83.5,743,147.1
Zhu et al. 2020,181203\Ros2-03,2315,0.074,4.56,0.25,3.13,5.51,0.58,42.4,15.56,199.4,76.8,367,72.5,619,117.7
Zhu et al. 2020,181203\Ros2-04,1980,0.117,21.9,0.391,5.19,9.76,0.217,57.4,17.7,201.3,69.1,293,54.9,449,84.7
Zhu et al. 2020,181203\Ros2-05,1799,0.58,24.48,1.15,11.2,12,3.65,52.3,14.84,170.1,59.1,276.2,55.3,497.2,103.8
Zhu et al. 2020,181203\Ros2-07,1824,0.024,5.61,0.071,1.61,3.88,0.348,29.9,11.24,151.9,60.1,294.2,59.8,526,104.2
Zhu et al. 2020,181203\Ros2-10,1900,0.03,10.6,0.162,2.91,6.32,0.36,42.3,13.9,172,64,295,57.3,486,93.6
Zhu et al. 2020,181203\Ros2-14,1642,0.561,6.84,0.549,3.71,3.99,0.237,21.1,9.05,125.8,52.4,275.4,58.6,529,108.8
Large et al. 2021,EM-z10-1-1,372,0.025,36,0.186,2.28,3.22,0.95,12,3.4,36,12.2,53,11,101,19
Large et al. 2021,EM-z10-1-2,991,0.06,115,0.38,5.51,7.54,2.2,30,8.7,92,32.8,141,31,280,50
Large et al. 2021,EM-z10-1-3,511,0.018,70,0.182,2.77,3.93,1.12,16,4.3,46,16.6,75,17,163,30
Large et al. 2021,EM-z1-1-1,354,0.014,36,0.165,2.58,2.99,1.02,12,3.3,33,11.8,49,11,99,18
Large et al. 2021,EM-z11-1-1,838,0.054,56,0.276,4,5.08,1.53,20,5.8,68,26.8,122,26,240,45
Large et al. 2021,EM-z11-1-2,1582,0.086,197,0.587,7.76,10.7,3.01,41,12.2,136,51.4,225,49,446,79
Large et al. 2021,EM-z1-1-2,423,0.02,45,0.213,3.04,3.59,1.05,14,3.8,40,14.2,60,13,117,21
Large et al. 2021,EM-z12-1-1,1389,0.251,60,1.13,13.76,15.5,3.82,54,14.5,145,47.9,193,40,346,58
Large et al. 2021,EM-z12-1-2,851,0.062,95,0.444,5.24,7.26,1.58,25,7.4,78,27.9,122,26,242,42
Large et al. 2021,EM-z13-1-1,1482,0.137,272,0.861,11.83,17.48,4.37,60,15.7,152,49.7,205,43,390,65
Large et al. 2021,EM-z13-1-2,398,0.03,53,0.166,2.42,3.03,0.92,12,3.5,37,12.6,56,12,116,21
Large et al. 2021,EM-z14-1-2,687,0.098,36,0.553,6.93,7.76,2.33,26,7,69,23,96,20,180,33
Large et al. 2021,EM-z15-1-2,635,0.031,90,0.275,4.24,5.01,1.52,21,5.9,61,21.3,91,20,181,32
Large et al. 2021,EM-z16-1-2,1235,0.257,52,1.055,12.64,13.44,4.09,50,13.3,127,42.6,173,35,310,55
Large et al. 2021,EM-z17-1-2,707,0.045,84,0.333,4.66,5.75,1.65,23,6.1,66,23.2,101,22,202,37
Large et al. 2021,EM-z18-1-1,674,0.126,34,0.663,8.22,8.67,2.63,28,7.1,68,22.6,93,20,173,31
Large et al. 2021,EM-z18-1-2,399,0.03,47,0.239,2.79,3.58,1.06,13,3.5,36,12.9,56,12,116,20
Large et al. 2021,EM-z20-1-1,768,0.13,79,0.531,6.57,8.78,2.68,31,8.1,78,25.7,107,22,194,34
Large et al. 2021,EM-z20-1-2,891,0.044,84,0.304,4.67,5.88,1.66,22,6.6,73,28.7,131,29,274,52
Large et al. 2021,EM-z2-1-1,288,0.01,29,0.116,1.81,2.28,0.8,9,2.6,26,9.4,40,9,81,15
Large et al. 2021,EM-z2-1-2,1030,0.127,59,0.661,7.86,9.74,2.98,36,9.3,96,34,144,30,275,50
Large et al. 2021,EM-z22-1-2,876,0.048,70,0.342,4.58,5.54,1.62,22,6.7,74,27.9,129,28,262,48
Large et al. 2021,EM-z23-1-1,1251,0.195,144,0.85,11.68,16.5,4.81,56,14,134,42.9,170,35,308,55
